,FECHA_DOC,CVE_ART,COSTO_TOTAL_CALCULADO
0,2022-01-05,TUE00244,52.8
1,2022-01-05,TUA00028,327.18
2,2022-01-05,TP0007,1243.73
3,2022-01-05,TP0001,38.96
4,2022-01-05,BP00242,203.42
5,2022-01-05,BP00243,98.82
6,2022-01-05,RP00165,5323.76
7,2022-01-05,TP0001,116.88
8,2022-01-05,TUE00207,517.89
9,2022-01-05,TUE00207,517.89
10,2022-01-05,TUE00207,517.89
11,2022-01-05,TUE00207,586.32
12,2022-01-05,TUE00207,586.32
13,2022-01-05,BO00051,86.22
14,2022-01-05,BC00023,742.05
15,2022-01-05,PT00070,397.08
16,2022-01-05,TP0011,248.0
17,2022-01-05,PJ31C1F1AA00,425.69
18,2022-01-05,WRE-2133,393.48
19,2022-01-05,WRE-2774,530.41
20,2022-01-05,WRE-4885,82.29
21,2022-01-07,MR01934,443.27
22,2022-01-07,PT00080,259.35
23,2022-01-07,PT00081,332.65
24,2022-01-07,RP00150,0.72
25,2022-01-07,TUA00009,3245.66
26,2022-01-07,TP0011,620.0
27,2022-01-07,TP0012,264.83
28,2022-01-07,PT00044,978.77
29,2022-01-07,BOBINA001,9163.18
30,2022-01-10,TUE00247,1771.42
31,2022-01-10,BOBINA001,9163.18
32,2022-01-10,TUE00320,178.6
33,2022-01-11,PJ31A1F1A400,689.45
34,2022-01-11,PK31A1F1A400,783.24
35,2022-01-11,RP00172,5.76
36,2022-01-11,RP00173,45.01
37,2022-01-11,BN00232,289.05
38,2022-01-12,CBS00045,2594.17
39,2022-01-12,MR01934,161.73
40,2022-01-12,TUE00321,4527.42
41,2022-01-12,TF71E1120A00,915.42
42,2022-01-12,BO00052,819.14
43,2022-01-12,TUA00404,3980.31
44,2022-01-13,TEE00025,197.51
45,2022-01-14,TUS00049,140.29
46,2022-01-14,TUE00322,363.75
47,2022-01-14,TUE00323,499.77
48,2022-01-14,TUS00020,194.24
49,2022-01-14,TUE00328,195.26
50,2022-01-17,TUS00003,426.47
51,2022-01-17,BB1 1/2X1/2-300W,220.0
52,2022-01-17,TP0008,211.36
53,2022-01-17,TUE00324,484.95
54,2022-01-17,TUE00325,471.13
55,2022-01-17,TUE00326,319.8
56,2022-01-17,TUE00327,313.8
57,2022-01-17,RB00010,178.8
58,2022-01-18,P7J6C1D1A030,4.02
59,2022-01-19,CS12E2040A00,138.46
60,2022-01-19,CS12E2040A00,138.46
61,2022-01-19,BC00024,1668.42
62,2022-01-19,BC00025,1343.05
63,2022-01-19,BP00241,574.91
64,2022-01-19,TP00016,316.8
65,2022-01-19,TUA00258,2181.22
66,2022-01-19,BN00236,323.25
67,2022-01-19,BN00237,422.72
68,2022-01-20,TUA00364,3182.95
69,2022-01-20,BP00245,102.76
70,2022-01-20,BP00244,291.72
71,2022-01-21,PK31B1I1A000,2408.67
72,2022-01-21,BP00051,52.48
73,2022-01-21,TUA00400,139.82
74,2022-01-21,ECQ-00972,8264.95
75,2022-01-21,TU5/16X230MM,600.9
76,2022-01-24,TUE00146,3726.73
77,2022-01-24,BO00054,2162.98
78,2022-01-24,BO00055,2027.79
79,2022-01-24,70001693,907.73
80,2022-01-24,TP0004,771.29
81,2022-01-24,BE00010,231.15
82,2022-01-24,BL00011,330.39
83,2022-01-24,BL00052,771.42
84,2022-01-25,TUS00086,85.89
85,2022-01-25,TEA00058,1151.56
86,2022-01-25,TEA00059,1579.75
87,2022-01-25,TEE00026,292.75
88,2022-01-25,TP0003,1425.02
89,2022-01-26,TP0001,38.96
90,2022-01-26,TUA00410,1090.0
91,2022-01-26,CS14B1010A00,27.08
92,2022-01-27,TUA00350,436.54
93,2022-01-27,TP0001,38.96
94,2022-01-28,PK18J1F1A400,113.22
95,2022-01-28,RP00176,742.57
96,2022-01-28,TUS00064,480.08
97,2022-01-28,TUA00078,1108.78
98,2022-01-28,CS38E1017A00,134.84
99,2022-01-28,TP0003,71.25
100,2022-01-28,TP0025,75.89
101,2022-01-31,PT00082,2428.6
102,2022-01-31,54020219,2082.15
103,2022-01-31,93980461,2597.36
104,2022-01-31,PJ14F10B0600,387.87
105,2022-01-31,TUE00057,435.3
106,2022-01-31,TUE00331,97.52
107,2022-01-31,BT00005,167.3
108,2022-01-31,RC00024,104.4
109,2022-01-31,TUE00332,673.13
110,2022-01-31,TUA00124,647.84
111,2022-01-31,TUE00063,1744.19
112,2022-01-31,TUE00129,898.7
113,2022-01-31,TUE00008,406.61
114,2022-01-31,TUA00401,281.94
115,2022-01-31,CAS00066,268.86
116,2022-01-31,BB00077,75.53
117,2022-01-31,TUS00052,13.38
118,2022-02-01,TU5/16X230MM,226.23
119,2022-02-01,TJ00087,520.79
120,2022-02-01,TJ00088,274.16
121,2022-02-02,BB1 1/2X1/2-300W,220.0
122,2022-02-02,CBS00002,492.92
123,2022-02-02,TUS00052,13.38
124,2022-02-02,TUA00407,174.76
125,2022-02-02,TP0005,318.0
126,2022-02-02,65014-38,493.89
127,2022-02-03,CS12G1040A00,90.18
128,2022-02-03,MA00001,627.33
129,2022-02-03,TUA00412,587.54
130,2022-02-03,TUA00414,747.79
131,2022-02-03,CS12J1075A00,397.28
132,2022-02-03,TUE00329,130.78
133,2022-02-03,TUE00330,134.36
134,2022-02-04,TUA00143,2842.01
135,2022-02-04,BB2X2ST,220.0
136,2022-02-04,TUA00405,395.14
137,2022-02-04,TUA00406,141.65
138,2022-02-08,CBS00001,6315.25
139,2022-02-08,BN00112,603.18
140,2022-02-08,RPISTOLA01,967.82
141,2022-02-08,TUA00408,1599.82
142,2022-02-08,P231B1AF0500,2239.95
143,2022-02-08,TUE00334,329.11
144,2022-02-09,TUA00400,336.79
145,2022-02-09,TUA00415,1255.77
146,2022-02-09,TEA00004,665.36
147,2022-02-09,TUA00082,2276.4
148,2022-02-09,TUE00098,236.48
149,2022-02-10,RC00026,250.49
150,2022-02-10,ECQ-01444,2373.3
151,2022-02-10,TUS00002,431.66
152,2022-02-10,TP0016,444.0
153,2022-02-10,TP0026,227.19
154,2022-02-11,CBS00099,1539.68
155,2022-02-11,TK00062,675.84
156,2022-02-11,TP0005,87.1
157,2022-02-11,CBS00100,595.19
158,2022-02-11,PK31B1G10000,334.89
159,2022-02-14,BN00055,548.24
160,2022-02-14,CS38M1050A01,424.72
161,2022-02-14,CS38N1050A01,601.92
162,2022-02-14,BL00053,73.84
163,2022-02-14,BN00232,299.62
164,2022-02-14,BP00246,95.16
165,2022-02-14,BP00247,310.77
166,2022-02-14,BP00248,290.42
167,2022-02-14,BN00115,150.74
168,2022-02-14,TUS00052,104.34
169,2022-02-14,TP0010,106.55
170,2022-02-14,CM12G2075A00,539.13
171,2022-02-14,RP00177,143.11
172,2022-02-15,TUS00111,85.71
173,2022-02-15,TUE00148,337.19
174,2022-02-15,TU5/16X230MM,226.23
175,2022-02-16,TP0002,102.71
176,2022-02-16,PT00057,789.1
177,2022-02-16,PT00082,2428.6
178,2022-02-16,TU5/16X203V,2606.27
179,2022-02-17,TUE00081,863.66
180,2022-02-17,TP0011,124.0
181,2022-02-17,TUA00280,175.18
182,2022-02-17,RP00178,12.4
183,2022-02-17,BO00053,5346.0
184,2022-02-17,P7J6C1D1A030,73.06
185,2022-02-18,TEA00092,7400.14
186,2022-02-18,TEA00093,7142.54
187,2022-02-18,PK14C1D1G300,280.17
188,2022-02-18,TT00007,379.5
189,2022-02-18,TT00008,693.49
