,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7001,F36417,5271.0,E,3.0,2021-10-15 08:40:29.183,2021-10-15,2021-10-06 00:00:00,2021-11-14,,8555.24,0.0,0
7002,F36418,5746.0,E,2.0,2021-10-15 08:51:03.463,2021-10-15,2021-10-14 00:00:00,2021-10-15,,620.77,0.0,0
7003,F36419,2163.0,E,3.0,2021-10-15 08:56:23.280,2021-10-15,2021-10-15 00:00:00,2021-10-15,,560.0,0.0,0
7004,F36420,1429.0,E,1.0,2021-10-15 09:01:08.393,2021-10-15,2021-10-15 00:00:00,2021-12-14,,23625.000000000004,0.0,0
7005,F36421,5039.0,E,1.0,2021-10-15 09:07:07.103,2021-10-15,2021-10-08 00:00:00,2022-01-13,,3308.78,0.0,0
7006,F36422,6872.0,E,2.0,2021-10-15 10:31:01.627,2021-10-15,2021-10-15 00:00:00,2021-10-15,,151.38800000000003,0.0,0
7007,F36423,8478.0,E,4.0,2021-10-15 11:37:13.230,2021-10-15,2021-10-15 00:00:00,2021-10-15,,450.54510000000005,0.0,0
7008,F36424,6545.0,E,2.0,2021-10-15 12:12:15.810,2021-10-15,2021-10-15 00:00:00,2021-10-15,,1224.4,0.0,0
7009,F36425,6545.0,E,2.0,2021-10-15 12:13:54.637,2021-10-15,2021-10-15 00:00:00,2021-10-15,,1224.4,0.0,0
7010,F36426,6545.0,E,2.0,2021-10-15 12:15:51.957,2021-10-15,2021-10-15 00:00:00,2021-10-15,,1224.4,0.0,0
7011,F36427,6545.0,E,2.0,2021-10-15 12:17:25.747,2021-10-15,2021-10-15 00:00:00,2021-10-15,,1224.4,0.0,0
7012,F36428,6545.0,E,2.0,2021-10-15 12:20:07.887,2021-10-15,2021-10-15 00:00:00,2021-10-15,,489.6,0.0,0
7013,F36429,248.0,E,2.0,2021-10-15 12:35:03.610,2021-10-15,2021-10-15 00:00:00,2021-10-15,,540.0,0.0,0
7014,F36430,6797.0,E,2.0,2021-10-15 13:29:23.007,2021-10-15,2021-10-15 00:00:00,2021-10-15,,855.54,0.0,0
7015,F36431,8477.0,E,2.0,2021-10-15 14:05:17.327,2021-10-15,2021-10-15 00:00:00,2021-10-15,,781.54,0.0,0
7016,F36432,3666.0,E,2.0,2021-10-15 14:19:31.517,2021-10-15,2021-10-18 00:00:00,2021-10-15,,435.0,0.0,0
7017,F36433,2036.0,E,2.0,2021-10-15 14:57:53.463,2021-10-15,2021-10-15 00:00:00,2021-10-15,,570.5,0.0,0
7018,F36434,4598.0,E,1.0,2021-10-15 15:00:58.727,2021-10-15,2021-10-15 00:00:00,2021-11-14,,17703.600000000002,0.0,0
7019,F36435,3937.0,E,1.0,2021-10-15 15:30:36.927,2021-10-15,2021-10-19 00:00:00,2021-10-15,,36965.560000000005,0.0,0
7020,F36436,8426.0,E,1.0,2021-10-15 15:43:15.297,2021-10-15,2021-09-29 00:00:00,2021-11-14,,5931.000000000001,0.0,0
7021,F36437,114.0,E,1.0,2021-10-15 16:44:42.677,2021-10-15,2021-10-15 00:00:00,2021-11-29,,2800.5000000000005,0.0,0
7022,F36438,5926.0,E,2.0,2021-10-15 16:53:45.997,2021-10-15,2021-10-12 00:00:00,2021-10-15,,813.9300000000001,0.0,0
7023,F36439,6892.0,E,2.0,2021-10-18 09:08:25.893,2021-10-18,2021-10-18 00:00:00,2021-10-18,,208.0,0.0,0
7024,F36440,1761.0,E,2.0,2021-10-18 13:03:02.247,2021-10-18,2021-10-18 00:00:00,2021-10-18,,428.71000000000004,0.0,0
7025,F36441,5372.0,E,2.0,2021-10-18 14:36:55.003,2021-10-18,2021-10-13 00:00:00,2021-10-18,,6617.0,0.0,0
7026,F36442,3108.0,E,2.0,2021-10-18 16:12:16.950,2021-10-18,2021-10-18 00:00:00,2021-10-18,,4358.9,0.0,0
7027,F36443,5926.0,E,2.0,2021-10-18 16:44:46.130,2021-10-18,2021-10-18 00:00:00,2021-10-18,,493.56,0.0,0
7028,F36444,6211.0,E,2.0,2021-10-19 08:41:12.317,2021-10-19,2021-10-19 00:00:00,2021-10-19,,770.0,0.0,0
7029,F36445,5926.0,E,2.0,2021-10-19 10:52:31.543,2021-10-19,2021-10-18 00:00:00,2021-10-19,,305.25,0.0,0
7030,F36446,5939.0,E,2.0,2021-10-19 10:59:16.407,2021-10-19,2021-10-19 00:00:00,2021-10-19,,604.5,0.0,0
7031,F36447,2044.0,E,2.0,2021-10-19 11:20:42.397,2021-10-19,2021-10-19 00:00:00,2021-10-19,,3407.5008000000003,0.0,0
7032,F36448,2900.0,E,2.0,2021-10-19 12:46:10.063,2021-10-19,2021-10-19 00:00:00,2021-10-19,,1370.0,0.0,0
7033,F36449,8475.0,E,2.0,2021-10-19 13:01:00.100,2021-10-19,2021-10-19 00:00:00,2021-10-19,,2400.0,0.0,0
7034,F36450,6381.0,E,2.0,2021-10-19 13:10:16.737,2021-10-19,2021-10-19 00:00:00,2021-10-19,,1636.0000000000002,0.0,0
7035,F36451,8466.0,E,2.0,2021-10-19 13:21:59.433,2021-10-19,2021-10-19 00:00:00,2021-10-19,,1023.2900000000001,0.0,0
7036,F36452,4480.0,E,2.0,2021-10-19 14:47:43.697,2021-10-19,2021-10-19 00:00:00,2021-11-03,,9507.750000000002,0.0,0
7037,F36453,8437.0,E,2.0,2021-10-19 15:34:17.097,2021-10-19,2021-10-19 00:00:00,2021-10-19,,267.25,0.0,0
7038,F36454,5926.0,E,2.0,2021-10-19 17:04:17.450,2021-10-19,2021-10-19 00:00:00,2021-10-19,,232.5274,0.0,0
7039,F36455,161.0,E,1.0,2021-10-20 08:26:23.640,2021-10-20,2021-10-20 00:00:00,2021-11-19,,1230.0,0.0,0
7040,F36456,9.0,E,1.0,2021-10-20 08:32:32.347,2021-10-20,2021-10-22 00:00:00,2021-11-19,,9108.0,0.0,0
7041,F36457,3686.0,E,2.0,2021-10-20 10:07:54.220,2021-10-20,2021-10-18 00:00:00,2021-11-04,,1215.5,0.0,0
7042,F36458,3666.0,E,2.0,2021-10-20 12:17:55.207,2021-10-20,2021-10-13 00:00:00,2021-10-20,,1736.4375000000002,0.0,0
7043,F36459,8419.0,E,2.0,2021-10-20 14:10:40.107,2021-10-20,2021-10-20 00:00:00,2021-10-20,,1312.5,0.0,0
7044,F36460,5591.0,E,2.0,2021-10-20 16:14:43.510,2021-10-20,2021-10-20 00:00:00,2021-10-20,,22055.0,0.0,0
7045,F36461,5593.0,E,1.0,2021-10-20 16:44:43.113,2021-10-20,2021-10-25 00:00:00,2021-11-04,,4498.0,0.0,0
7046,F36462,8483.0,E,2.0,2021-10-20 16:47:16.667,2021-10-20,2021-10-20 00:00:00,2021-10-20,,6258.97,0.0,0
7047,F36463,5926.0,E,2.0,2021-10-20 16:52:46.643,2021-10-20,2021-10-20 00:00:00,2021-10-20,,864.0000000000001,0.0,0
7048,F36464,6458.0,E,2.0,2021-10-21 08:46:28.580,2021-10-21,2021-10-21 00:00:00,2021-10-21,,2147.5,0.0,0
7049,F36465,8128.0,E,2.0,2021-10-21 10:29:46.547,2021-10-21,2021-10-21 00:00:00,2021-10-21,,444.24,0.0,0
7050,F36466,8128.0,E,2.0,2021-10-21 10:31:57.870,2021-10-21,2021-10-21 00:00:00,2021-10-21,,56.87500000000001,0.0,0
7051,F36467,8314.0,E,2.0,2021-10-21 10:35:13.610,2021-10-21,2021-10-21 00:00:00,2021-10-21,,284.375,0.0,0
7052,F36468,484.0,E,2.0,2021-10-21 11:19:43.497,2021-10-21,2021-10-21 00:00:00,2021-11-05,,773.86,0.0,0
7053,F36469,401.0,E,2.0,2021-10-21 12:07:23.947,2021-10-21,2021-10-20 00:00:00,2021-11-05,,1392.0,0.0,0
7054,F36470,3803.0,E,2.0,2021-10-21 12:51:34.323,2021-10-21,2021-10-20 00:00:00,2021-11-20,,5450.0,0.0,0
7055,F36471,8145.0,E,1.0,2021-10-21 13:01:19.650,2021-10-21,2021-10-18 00:00:00,2021-10-21,,24300.000000000004,0.0,0
7056,F36472,8316.0,E,2.0,2021-10-21 13:04:29.287,2021-10-21,2021-10-21 00:00:00,2021-10-21,,9500.0,0.0,0
7057,F36473,5598.0,E,2.0,2021-10-21 13:09:55.180,2021-10-21,2021-10-20 00:00:00,2021-10-21,,1988.8000000000002,0.0,0
7058,F36474,8484.0,E,2.0,2021-10-21 13:42:35.157,2021-10-21,2021-10-21 00:00:00,2021-10-21,,1136.0,0.0,0
7059,F36475,5804.0,E,2.0,2021-10-21 15:09:27.497,2021-10-21,2021-10-18 00:00:00,2021-10-21,,993.0000000000001,0.0,0
7060,F36476,8257.0,E,6.0,2021-10-21 16:22:10.740,2021-10-21,2021-10-21 00:00:00,2021-11-20,,2250.0,0.0,0
7061,F36477,908.0,E,2.0,2021-10-22 08:36:40.917,2021-10-22,2021-10-21 00:00:00,2021-11-06,,1995.5,0.0,0
7062,F36478,8475.0,E,2.0,2021-10-22 08:42:43.017,2021-10-22,2021-10-22 00:00:00,2021-10-22,,2400.0,0.0,0
